id,icao24,registration,adep,model,icao_operator
5721732960978405809,406fd8,G-EZPB,LSGG,AIRBUS A320-214,EZY
5727913679424089182,4b1a67,HB-JZZ,LSGG,A320-214,
5778574328536774961,406660,G-TAWA,,BOEING 737-8K5,TOM
5787235595492132976,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
5807293780320210917,402aee,G-BOJW,EGGD,PIPER PA-28-161 Cherokee Warrior Ii,
5822875078180992176,406660,G-TAWA,,BOEING 737-8K5,TOM
5930590472043833438,407152,G-DSAA,,AW169,
5967186353666805159,48c121,SP-RKB,EPKK,,BUZ
5981251613507430939,4b1a26,HB-JXM,LSGG,A320-214,
6001303564923095776,406b90,G-EZWX,LSGG,AIRBUS A320-214,EZY
6032489023511085491,407765,G-YVIP,EGHL,,
6059288456987896660,494113,CS-PHS,EGWU,,
6087900609951453376,43ea70,M-INTY,LFMN,G280,
6147449613296524767,4cab3d,EJ-REVA,,,
6189176080082455383,401e56,G-BHJS,EGGD,P68B Victor,
6209133791006615232,406d59,G-SCCA,EGJJ,CESSNA 510 Citation Mustang,GMA
6249139370804024849,4cac5d,EJ-JMMM,EGLF,,
6329281246913398375,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
6405793585380508873,407152,G-DSAA,EGDY,AW169,
6478328094178339942,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
6482171296523559355,3cee56,D-CROG,EDDM,,
6528936918587369535,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
6558893525648272113,40660c,G-FDZY,,BOEING 737-8K5,TOM
6631778777807166647,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
6645477487728727399,4018e6,G-AYPU,,PIPER PA-28R-200 Cherokee Arrow,
6662687459847680421,494111,CS-PHQ,LSZH,,
6668916371627188359,43ee26,2-CAMP,EGJJ,,
6668973145006438335,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
6717848379728064527,4ca73f,EI-EBX,LEAL,BOEING 737-8AS,RYR
6731095685972412889,405078,G-HNGE,,IKARUS C42 FB80 Ikarus,
6740309964731082067,4d2229,9H-QCI,LIPZ,,
6966178431990820083,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
7007915019644811584,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
7022867255669619969,406de8,G-MCGS,EGTE,AGUSTA AW189,BHL
7062314236530913036,407152,G-DSAA,,AW169,
7078376835859494682,40116c,G-CDOK,,IKARUS C42 FB100 Ikarus,
7141891055501074032,43ee3b,2-NITE,EGHL,,
7248784249041167225,400e15,G-FRAD,,FAN JET FALCON SERIES E Falcon 20e,
7287245996523517737,406fd8,G-EZPB,LSGG,AIRBUS A320-214,EZY
7321317283656010758,406aa9,G-OXFG,EGBE,PIPER PA-34-220T Seneca V,
7483470286150824573,400e15,G-FRAD,,FAN JET FALCON SERIES E Falcon 20e,
7508547478821234567,3c61f3,D-AHOS,EGNJ,Legacy 650,AHO
7544070461101708712,400e15,G-FRAD,,FAN JET FALCON SERIES E Falcon 20e,
7556786166338647366,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
7559798527060318339,4ca8d4,EI-ENI,,BOEING 737-8AS,RYR
7562955794339372280,a18ac2,N199MW,EGVA,PA-32-300,
7567735131321152057,404ce2,G-RDNS,EGGD,RANS S6S-116 SUPER SIX Super Coyote,
7600997197613131244,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
7626559971378147506,48c125,SP-RKF,EPKK,737-8AS (W),RYR
7626766267818030187,406de8,G-MCGS,,AGUSTA AW189,BHL
7629391581209123552,406e80,G-CISE,,PULSAR XP Pulsar,
7659760050839582302,400ab8,G-RIGH,,PIPER PA-32R-301 Saratoga Sp,
7769167819040319951,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
7846250361972349946,a7d60d,N6039X,,114-B,
8071741280164225009,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
8078725079598648184,407bec,G-ETPO,EGDM,,
8140545598850873673,4075b7,G-XIVA,EGKA,,
8230912381990571760,406d59,G-SCCA,EGJJ,CESSNA 510 Citation Mustang,GMA
8251512594430270222,405078,G-HNGE,,IKARUS C42 FB80 Ikarus,
8258341965479465156,43ea86,M-ABJA,EGSS,Learjet 45 XR,RYR
8264670383168472174,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
8274718535554378895,405200,G-XVIP,EGHL,BEECH 200 Super Kingair,
8322396626410091655,40660c,G-FDZY,EGKK,BOEING 737-8K5,TOM
8336551207747747796,400abc,G-NESW,EGJJ,PIPER PA-34-220T Seneca Iii,
8403626053981606385,4022d4,G-ROBN,,PIERRE ROBIN R1180T Aiglon,
8456649412114528789,403d75,G-BXDI,EGGD,DHC-1 CHIPMUNK 22 Chipmunk,
8470420308143801028,3cc1db,D-CASH,,Phenom 300,AHO
8522120197804240358,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
8560853413176432965,43ec2b,2-TEAM,EGTK,,
8584850164282299428,407152,G-DSAA,EGDY,AW169,
8609335363461376363,4079b4,G-RIDC,,,
8700845771181958941,494107,CS-PHG,LOWS,Phenom 300,
8708727882068580027,405200,G-XVIP,EGVO,BEECH 200 Super Kingair,
8722702593879618677,400b1c,G-BZTN,EGWC,EUROPA XS Europa,
8816261226974715776,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
8907605557297376552,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
8931101718975269609,40660c,G-FDZY,,BOEING 737-8K5,TOM
8992206086530327675,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
9008937891246083128,4ca8d7,EI-ENL,LEAL,BOEING 737-8AS,RYR
9149757382486208326,43c944,ZM722,EGDM,,
9167430367996949490,4ca73f,EI-EBX,LPFR,BOEING 737-8AS,RYR
9190483201663727001,406a99,G-OXFB,EGBE,PIPER PA-34-220T Seneca V,
9320925766779508575,4076fe,G-REXA,EGNX,,
9342602359201176921,402ae1,G-BOHA,EGGD,PIPER PA-28-161 Cherokee Warrior Ii,
